File,Well,Row_dim,Column_dim
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000295/data.raw_20241213_18h15m.pkl,well000,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000295/data.raw_20241213_18h15m.pkl,well001,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000295/data.raw_20241213_18h15m.pkl,well002,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000295/data.raw_20241213_18h15m.pkl,well003,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000295/data.raw_20241213_18h15m.pkl,well004,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000295/data.raw_20241213_18h15m.pkl,well005,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000291/data.raw_20241213_18h15m.pkl,well000,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000291/data.raw_20241213_18h15m.pkl,well001,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000291/data.raw_20241213_18h15m.pkl,well002,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000291/data.raw_20241213_18h15m.pkl,well003,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000291/data.raw_20241213_18h15m.pkl,well004,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Stimulation/000291/data.raw_20241213_18h15m.pkl,well005,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000296/data.raw_20241213_18h15m.pkl,well000,710,710
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000296/data.raw_20241213_18h15m.pkl,well001,903,903
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000296/data.raw_20241213_18h15m.pkl,well002,676,676
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000296/data.raw_20241213_18h15m.pkl,well003,354,354
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000296/data.raw_20241213_18h15m.pkl,well004,213,213
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000296/data.raw_20241213_18h15m.pkl,well005,414,414
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000293/data.raw_20241213_18h15m.pkl,well000,724,724
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000293/data.raw_20241213_18h15m.pkl,well001,927,927
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000293/data.raw_20241213_18h15m.pkl,well002,725,725
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000293/data.raw_20241213_18h15m.pkl,well003,351,351
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000293/data.raw_20241213_18h15m.pkl,well004,209,209
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000293/data.raw_20241213_18h15m.pkl,well005,392,392
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000290/data.raw_20241213_18h15m.pkl,well000,750,750
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000290/data.raw_20241213_18h15m.pkl,well001,901,901
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000290/data.raw_20241213_18h15m.pkl,well002,715,715
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000290/data.raw_20241213_18h15m.pkl,well003,361,361
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000290/data.raw_20241213_18h15m.pkl,well004,199,199
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/Network/000290/data.raw_20241213_18h15m.pkl,well005,451,451
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/ActivityScan/000289/data.raw_20241213_18h15m.pkl,well000,325,325
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/ActivityScan/000289/data.raw_20241213_18h15m.pkl,well001,163,163
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/ActivityScan/000289/data.raw_20241213_18h15m.pkl,well002,157,157
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/ActivityScan/000289/data.raw_20241213_18h15m.pkl,well003,56,56
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/ActivityScan/000289/data.raw_20241213_18h15m.pkl,well004,49,49
/cis/project/organoid/Dec_29_2024_ecr_results/M07915/ActivityScan/000289/data.raw_20241213_18h15m.pkl,well005,73,73
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000301/data.raw_20241213_18h15m.pkl,well000,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000301/data.raw_20241213_18h15m.pkl,well001,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000301/data.raw_20241213_18h15m.pkl,well002,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000301/data.raw_20241213_18h15m.pkl,well003,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000301/data.raw_20241213_18h15m.pkl,well004,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000301/data.raw_20241213_18h15m.pkl,well005,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl,well000,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl,well001,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl,well002,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl,well003,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl,well004,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Stimulation/000299/data.raw_20241213_18h15m.pkl,well005,1020,1020
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl,well000,661,661
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl,well001,694,694
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl,well002,1009,1009
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl,well003,1009,1009
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl,well004,842,842
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000302/data.raw_20241213_18h15m.pkl,well005,553,553
/cis/project/organoid/Dec_29_2024_ecr_results/M07914/Network/000300/data.raw_20241213_18h15m.pkl,well000,672,672
